canned_food_factory;Консервный завод;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALL_CORE_PROVINCE_THAT;Для всех национальных провинций \n;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOPBAR_POPULATION;Наше взрослое мужское население $CURR$. Наше взрослое мужское население изменилось на $CHANGE$ в последние §Y$DAYS$§! дней.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
precious_metal;Драгоценные металы;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
precious_metal_RGO_SIZE;Размер шахт драгметаллов;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cattle;Крупный рогатый скот;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cattle_RGO_SIZE;Размер животноводческих ферм;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
no_health_care_desc;Правительство не заботится о здравоохранении, и никакого финансирования для него не предусмотрено. Те немногие учреждения здравоохранения, которые существуют, - пережиток средневековья и оснащены соответствующим образом. Медицинская карьера - это неформальная профессия, в основном связанная с церковью. В больницах используется рудиментарное освещение, а помещения переполнены. Для лечения заболеваний обычно рекомендуются молитвы.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trinket_health_care;Базовая медицина;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trinket_health_care_desc;Врачи и медсестры имеют элементарное представление о ранах и болезнях, частично полагаясь на старые убеждения при лечении пациентов, но у них есть формальная подготовка. В больницах есть правила по сокращению переполненности (кровати отодвинуты на метр друг от друга), вентиляционные отверстия и канализация, идущие от больницы, промываются несколько раз в день, в то время как туалеты / стоки дезинфицируются торфяным углем. Существует скудный сбор данных о пациентах, но нет никаких надлежащих санитарных стандартов для больниц или государственных учреждений, чтобы проверить их. Медицинские учреждения трудно найти. \n§YДля полного эффекта этой реформы ваши административные расходы должны составлять не менее 20%.§W;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
low_health_care;Слабая медицина;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
low_health_care_desc;Врачи и медсестры начинают лучше понимать раны и болезни во время своих исследований и применяют принципы так называемой «теории микробов» при лечении пациентов. Была создана Санитарная комиссия, и ее агенты патрулируют больницы, хотя и нечасто, чтобы гарантировать элементарный санитарный стандарт. Медицинские учреждения начинают становиться обычным явлением.\n§YДля полного эффекта этой реформы ваши административные расходы должны составлять не менее 30%.§W;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
acceptable_health_care;Приемлимая медицина;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
acceptable_health_care_desc;Медицина - это полноценная профессия, в которой врачи и медсестры заканчивают учебу с полным пониманием анатомии человеческого тела и обширными знаниями о болезнях и способах их лечения. Стерилизация оборудования является обычной практикой: фильтры Чемберленда используются для фильтрации воды, а автоклав Чемберленда используется для нагрева растворов выше температуры кипения для уничтожения опасных микроорганизмов. Существуют правительственные учреждения для обеспечения санитарного контроля и предотвращения переполненности. Найти клинику в месте компактного проживания достаточно просто, и больницы отказались от масляных ламп в пользу газовых фонарей, которые повышают эффективность работы персонала.\n§YДля полного эффекта этой реформы ваши административные расходы должны составлять не менее 40%§W;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
good_health_care;Хорошая медицина;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
good_health_care_desc;Открытие нескольких вакцин произвело революцию в медицине, причем прививки стали обязательными и решительно поощряются правительством. В настоящее время врачи используют лекарственные препараты для лечения пациентов и полной стерилизации всего медицинского оборудования и средств. Карантинные процедуры для инфекционных заболеваний и надлежащая утилизация медицинских отходов являются обязательной практикой, применяемой в соответствии со стандартами санитарии государственных учреждений. Часто встречаются клиники или больницы в небольших населенных пунктах, переполненность встречается редко, и некоторые небольшие медицинские центры начинают появляться даже в сельских районах. Больницы оснащены современным электрическим освещением и информационными плакатами для персонала.\n§YДля полного эффекта этой реформы ваши административные расходы должны составлять не менее 50%.\nПолностью финансируемая администрация дает бонус к этой реформе.§W;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
school_reforms;Образование;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
no_schools_l;Нет образовательной системы;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
no_schools;Нет образовательной системы;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
no_schools_desc;Нет организованной образовательной системы или бюджета на образование. Скудное повышение грамотности достигается религиозными школами или основано на неформальном обучении. Высшие учебные заведения либо не существуют, либо являются полностью религиозными и средневековыми.\n§RЕсли средняя грамотность составляет более 25%, финансирование образования должно быть более 10%. Если 50%, финансирование должно быть не менее 20%. Если 75%, финансирование должно быть не менее 30%. В противном случае грамотность начнет падать.§W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;
low_schools;Базовое образование;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
low_schools_l;Базовое образование;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
low_schools_desc;Система элементарной школы существует в столице и нескольких важных городах, но зачисление в школу совершенно необязательно. Школы ограничиваются обучением учеников чтению и письму. Нет государственных учреждений для проверки школ, и у них нет общих стандартов преподавания, поскольку немногие существующие курсы переполнены. Частные школы обычно находятся в одинаковых условиях. Учителя не имеют профессионального образования и часто являются просто грамотными людьми, в то время как ученики часто покидают школу без надлежащего обучения.\n§YДля полного эффекта этой реформы ваши расходы на образование должны составлять не менее 30%. §W\n§RЕсли средняя грамотность превышает 25%, финансирование образования должно составлять более 10%. Если 50%, финансирование должно быть не менее 20%. Если 75%, финансирование должно быть не менее 30%. В противном случае грамотность начнет падать.§W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
acceptable_schools;Приемлимое образование;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
acceptable_schools_l;Приемлимое образование;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
acceptable_schools_desc;Школы можно найти в каждом крупном и большинстве средних городов. Существует государственное учреждение, которое обеспечивает стандарты качества в образовании и проверяет, используются ли для этого надлежащие средства. Зачисление поощряется, а иногда и является обязательным, но оно не соблюдается должным образом, и ученики часто не ходят в школу по разным причинам. Детям также преподают математику и некоторые другие предметы. Образовательные учреждения для подростков начинают появляться, и светские, высшие учебные заведения для взрослых являются обычным явлением. Преподаватели формально обучаются, но зачастую плохо.\n§YДля полного эффекта этой реформы ваши расходы на образование должны составлять не менее 40% .§W\n§RЕсли средняя грамотность составляет более 25%, финансирование образования должно быть больше чем 10%. Если 50%, финансирование должно быть не менее 20%. Если 75%, финансирование должно быть не менее 30%. В противном случае грамотность начнет падать.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
good_schools;Хорошее образование;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
good_schools_l;Хорошее образование;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
good_schools_desc;Школы можно найти практически в каждом городе. Правительственные учреждения относятся к образованию со всей серьезностью, а регистрация обязательна и строго контролируется. Детям и подросткам преподают различные предметы помимо чтения и письма, а учителей учат педагогике во время их образования. Кампании по ликвидации неграмотности среди взрослых и пожилых людей являются частью усилий правительства по ликвидации неграмотности. Высшие учебные заведения считаются хорошими, с возможностями для зачисления в бедные классы.\n§YДля полного эффекта этой реформы ваши расходы на образование должны составлять не менее 50%.\NПолностью финансируемое образование дает бонус этой реформе. Если средняя грамотность составляет более 25%, финансирование образования должно составлять более 10%. Если 50%, финансирование должно быть не менее 20%. Если 75%, финансирование должно быть не менее 30%. В противном случае грамотность начнет падать.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;
RULE_RICH_ONLY;Только богатые;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RULE_SAME_AS_RULING_PARTY;Одинаковая с правящей партией;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RULE_STATE_VOTE;Выбор регионов;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RULE_POPULATION_VOTE;Выбор населения;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ISSUE_MOVE_EFFECT;§Y$PERCENTAGE$%§W населения переехало из §YFROM§W в §YTO§W\n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
social_policy;Соц. политика;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
colonial_spending_policy;Колониальная;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
colonial_spending_policy_l;Колониальная;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
colonial_spending_policy_desc;Правительство проводит колониальную политику в отношении своих подданных и не собирается тратить деньги на их благосостояние.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
no_state_interference;Антисоциальная;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
no_state_interference_l;Антисоциальная;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
no_state_interference_desc;Правительство считает, что расходы на социальное обеспечение не нужны, и что люди должны заботиться о себе сами.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
no_position_set;Отсутствует;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
no_position_set_l;Отсутствует;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
no_position_set_desc;Не существует официальной позиции в отношении политики социального обеспечения и того, сколько правительство должно на нее потратить, и эта сумма в основном остается на усмотрение правителя.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
populist_welfare;Патерналистская;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
populist_welfare_l;Патерналистская;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
populist_welfare_desc;Система социального обеспечения в этом правительстве имеет патерналистскую характеристику, при этом минимальная сумма устанавливается для поддержки этой часто популистской политики.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
welfare_state;Всеобщее благо;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
welfare_state_l;Социальное государство;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
welfare_state_desc;Это правительство считает, что благосостояние менее удачливых имеет первостепенное значение, и выделяет часть бюджета для достижения этой цели.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rail_focus;Колониальная ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
colonial_immigration;Поощрять колониальную миграцию;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
encourage_agriculture;Поощрять сельское хозяйство;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
encourage_mining;Поощрять горную промышленность;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
encourage_business;Поощрять бизнес;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
militancy_appeasement;Колониальное успокоение;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
consciousness_appeasement;Колониальная пропаганда;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
native_enslavement;Порабощение туземцев;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NO_RAIL_YET;Мы не можем поощрять строительство железных дорог, когда мы еще даже не знаем, как их строить.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAN_NOT_BUILD_FACTORY;Невозможно построить фабрику.\n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAN_BUILD_FACTORY;Можно построить фабрику.\n;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
no_safety;Нет;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
no_safety_desc;Смерть или тяжелые травмы на рабочем месте не редкость, поскольку работодателям не нужно думать о безопасности, а только о прибыли. Правительство не имеет регулирующего законодательства, касающегося безопасности на рабочем месте, и работникам редко удается судиться с работодателями в связи с несчастными случаями.;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trinket_safety;Базовая безопасность;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trinket_safety_desc;Фабрики обязаны обеспечить надлежащую вентиляцию и регулярно очищаемое рабочее пространство. Работники могут подать в суд на своих работодателей в случае несчастного случая, но они редко получают какую-либо компенсацию. Когда они это делают, сумма обычно ничтожна. Правила безопасности распространяются только на фабрики.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
low_safety;Ограниченная безопасность;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
low_safety_desc;Правила безопасности распространяются на сельское хозяйство, гражданское строительство и горнодобывающую отрасль. В шахтах использование предохранительных ламп является обязательным. Сотрудникам, подающим в суд на своих работодателей, все еще трудно получить какую-либо значительную компенсацию, но правительство предлагает помощь пострадавшим семьям, хотя выделенной суммы едва хватает на выживание.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
acceptable_safety;Стандартная безопаность;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
acceptable_safety_desc;Правила безопасности распространяются на все рабочие места в нашей стране. Правительственные учреждения маркируют сельскохозяйственные химикаты на предмет токсичности и потенциального воздействия на здоровье, работники горнодобывающей промышленности и строительства обязаны использовать защитное снаряжение, а ручные тормоза, управляемые рабочими, едущими поверх вагонов, были отменены. Сотрудникам гарантированы их права, и получение компенсации за несчастные случаи, которые происходят из-за халатности работодателя, является обычным явлением. Государственная помощь пострадавшим разумна.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
good_safety;Хорошая безопасность;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
good_safety_desc;Правила безопасности распространяются на все рабочие места в нашей стране и охватывают потенциальные психологические проблемы из-за длительной изоляции и даже незначительных травм. Работодатели обязаны снабжать работников средствами защиты и обучением технике безопасности. Предупреждения и напоминания распространяются на рабочем месте, чтобы гарантировать, что работники помнят свои инструкции по технике безопасности. Получить компенсацию за халатность работодателя на рабочем месте легко, и правительство поддерживает жертв с помощью хорошей суммы денег.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
no_work_hour_limit_desc;Нет ограничений по рабочему времени в день. Работники практически не имеют прав, а работодатели поступают со своими работниками так, как им нравится. Условия на некоторых рабочих местах аналогичны рабству.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fourteen_hours_desc;Законодательство о рабочем времени направлено не только на сокращение рабочей нагрузки, но также дает право на минимальное количество отпусков в год, ограничивает чрезмерную ночную работу и устанавливает право на отпуск, и все это без снижения заработной платы рабочих. В то время как заработная плата растет, а рабочее время сокращается, у людей появляется больше времени для отдыха и потребления, что приводит к росту спроса. При четырнадцати часах в день большинство работников почти не имеют времени для своих семей.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
twelve_hours_desc;Законодательство о рабочем времени направлено не только на сокращение рабочей нагрузки, но также дает право на минимальное количество отпусков в год, ограничивает чрезмерную ночную работу и устанавливает право на отпуск, и все это без снижения заработной платы рабочих. В то время как заработная плата растет, а рабочее время сокращается, у людей появляется больше времени для отдыха и потребления, что приводит к росту спроса. Рабочие работают 12 часов в день, и предпочитают отдыхать в тавернах и кабаре после работы.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ten_hours_desc;Законодательство о рабочем времени направлено не только на сокращение рабочей нагрузки, но также дает право на минимальное количество отпусков в год, ограничивает чрезмерную ночную работу и устанавливает право на отпуск, и все это без снижения заработной платы рабочих. В то время как заработная плата растет, а рабочее время сокращается, у людей появляется больше времени для отдыха и потребления, что приводит к росту спроса. Выходные без работы - обычное явление, зато у белых воротничков есть система ежегодных отпусков.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eight_hours_desc;Законодательство о рабочем времени направлено не только на сокращение рабочей нагрузки, но также дает право на минимальное количество отпусков в год, ограничивает чрезмерную ночную работу и устанавливает право на отпуск, и все это без снижения заработной платы рабочих. В то время как заработная плата растет, а рабочее время сокращается, у людей появляется больше времени для отдыха и потребления, что приводит к росту спроса. В восемь часов в день почти все работники имеют право на выходные и ежегодные каникулы. Свободного времени для отдыха всегда хватает, а индустрия развлечений находится на подъеме. Курорты по всей нашей стране появляются благодаря дешевым отелям и недорогим железнодорожным тарифам, широко распространенным банковским праздникам, и мы наблюдаем исчезновение многих религиозных запретов на светскую деятельность по воскресеньям.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;x;;
work_hours;Рабочее время;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
movement_fourteen_hours;Движение за ограничение макс.рабочих часов;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
movement_twelve_hours;Движение за ограничение макс.рабочих часов;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
movement_ten_hours;Движение за ограничение макс.рабочих часов;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
movement_eight_hours;Движение за ограничение макс.рабочих часов;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wage_reform;Зарплата;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
political_parties;Партии;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POLITICS_SUPPORT_REFORM;$IDEOLOGY$: $POSITIVE$% голосует за, $NEGATIVE$% голосует против.($PERCENT$% Верхней Палаты)\n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POLITICS_IN_FAVOR_TOOLTIP;($PERCENT$% представителей Верхней Палаты поддерживают реформы);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POLITICS_UPPERHOUSE_CHART_TOOLTIP;$PERCENT$% представителей Верхней Палаты придерживаются $IDEOLOGY$\n;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POLITICS_UPPERHOUSE;Верхняя Палата;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
